"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE"
"MLS Listing","","Single Family Residential","1953 Supreme Dr","SAN JOSE","CA","95148","740000","3","2.0","SAN JOSE","1189","7314","1977","50","622","","Active","","","http://www.redfin.com/CA/San-Jose/1953-Supreme-Dr-95148/home/895547","MLSListings","ML81669107","N","Y","37.3398566","-121.8166224"
"MLS Listing","","Single Family Residential","14955 Sword Dancer Ct","MORGAN HILL","CA","95037","829900","3","2.5","MORGAN HILL","2145","4998","1977","52","387","","Active","","","http://www.redfin.com/CA/Morgan-Hill/14955-Sword-Dancer-Ct-95037/home/1162243","MLSListings","ML81668983","N","Y","37.0957505","-121.6413066"
"MLS Listing","","Condo/Co-op","38 N Almaden Blvd #1803","SAN JOSE","CA","95110","674000","1","1.0","SAN JOSE","868","164","2008","52","776","500","Active","","","http://www.redfin.com/CA/San-Jose/38-N-Almaden-Blvd-95110/unit-1803/home/17291297","MLSListings","ML81668931","N","Y","37.3348273","-121.8957794"
"MLS Listing","","Condo/Co-op","1359 Phelps Ave #11","SAN JOSE","CA","95117","484000","2","1.0","SAN JOSE","840","840","1963","53","576","287","Active","","","http://www.redfin.com/CA/San-Jose/1359-Phelps-Ave-95117/unit-11/home/754952","MLSListings","ML81668668","Y","Y","37.299867","-121.961933"
"MLS Listing","","Single Family Residential","14715 Uvas Rd","MORGAN HILL","CA","95037","750000","3","1.5","MORGAN HILL","2000","871200","1920","59","375","","Active","","","http://www.redfin.com/CA/Morgan-Hill/14715-Uvas-Rd-95037/home/23468387","MLSListings","ML81668168","N","Y","37.072137","-121.702734"
"MLS Listing","","Condo/Co-op","8113 Cabernet","SAN JOSE","CA","95135","675000","2","3.0","SAN JOSE","1554","1517","1974","59","434","938","Active","","","http://www.redfin.com/CA/San-Jose/8113-Cabernet-Ct-95135/home/962353","MLSListings","ML81668114","N","Y","37.28709","-121.749133"
"MLS Listing","","Single Family Residential","276 Turquesa Ct","SAN JOSE","CA","95116","765000","3","2.0","SAN JOSE","1005","4275","1980","60","761","","Active","","","http://www.redfin.com/CA/San-Jose/276-Turquesa-Ct-95116/home/1058982","MLSListings","ML81668043","N","Y","37.3599641","-121.8560453"
"MLS Listing","","Townhouse","16980 Sugar Pine Dr","MORGAN HILL","CA","95037","649000","2","1.5","MORGAN HILL","1148","3528","1991","61","565","275","Active","","","http://www.redfin.com/CA/Morgan-Hill/16980-Sugarpine-Dr-95037/home/1028859","MLSListings","ML81667921","N","Y","37.1354789","-121.620929"
"MLS Listing","","Condo/Co-op","150 W Edith Ave #30","LOS ALTOS","CA","94022","835000","1","1.0","LOS ALTOS","756","1306","1968","61","1104","315","Active","","","http://www.redfin.com/CA/Los-Altos/150-W-Edith-Ave-94022/unit-30/home/634176","MLSListings","ML81667890","N","Y","37.381039","-122.1184737"
"MLS Listing","","Single Family Residential","33200 Loma Chiquita Rd","LOS GATOS","CA","95033","865000","5","2.0","LOS GATOS","1904","217800","1977","62","454","","Active","","","http://www.redfin.com/CA/Los-Gatos/33200-Loma-Chiquita-Rd-95033/home/668046","MLSListings","ML81667784","N","Y","37.106034","-121.819308"
"MLS Listing","","Single Family Residential","6787 Croy Rd","MORGAN HILL","CA","95037","499000","2","1.0","MORGAN HILL","864","1373342","2013","67","578","","Active","","","http://www.redfin.com/CA/Morgan-Hill/6787-Croy-Rd-95037/home/129867872","MLSListings","ML81667146","N","Y","37.092948596","-121.7736019"
"MLS Listing","","Condo/Co-op","153 Del Monte Ln","MORGAN HILL","CA","95037","555000","2","2.0","MORGAN HILL","1365","2450","1986","68","407","410","Active","","","http://www.redfin.com/CA/Morgan-Hill/153-Del-Monte-Ln-95037/home/1014222","MLSListings","ML81655517","N","Y","37.134431","-121.662029"
"MLS Listing","","Single Family Residential","30003 Summit Rd","LOS GATOS","CA","95033","800000","3","1.0","LOS GATOS","2507","87991","2007","69","319","","Active","","","http://www.redfin.com/CA/Los-Gatos/30003-Summit-Rd-95033/home/52342716","MLSListings","ML81656869","N","Y","37.09147","-121.836467"
"MLS Listing","","Single Family Residential","15143 Rosemar Ave","SAN JOSE","CA","95127","874900","3","2.0","SAN JOSE","1823","12000","1950","69","480","","Active","","","http://www.redfin.com/CA/San-Jose/15143-Rosemar-Ave-95127/home/1039991","MLSListings","ML81656863","N","Y","37.3691067","-121.8063937"
"MLS Listing","","Single Family Residential","330 Serrano Ave","SAN JOSE","CA","95127","650000","3","1.0","SAN JOSE","1050","7540","1948","69","619","","Active","","","http://www.redfin.com/CA/San-Jose/330-Serrano-Ave-95127/home/905233","MLSListings","ML81656723","N","Y","37.3637034","-121.8209671"
"MLS Listing","","Single Family Residential","4150 Pepper Tree Ln","SAN JOSE","CA","95127","849950","3","2.0","SAN JOSE","1886","9360","1950","70","451","","Active","","","http://www.redfin.com/CA/San-Jose/4150-Pepper-Tree-Ln-95127/home/1585648","MLSListings","ML81656714","N","Y","37.3910008","-121.8254305"
"New Construction Plan","","Single Family Residential","Residence Two","Gilroy","CA","95020","899000","4","3.0","Zinfandel at Glen Loma Ranch","3496","","","","257","","Active","","","http://www.redfin.com/CA/Gilroy/Zinfandel-at-Glen-Loma-Ranch/Residence-Two/home/102467058","NewHomeSource.com","Plan-11263473","N","Y","36.987193","-121.581123"
"MLS Listing","","Condo/Co-op","8352 Charbono Ct","SAN JOSE","CA","95135","628000","2","2.0","SAN JOSE","1370","2960","1978","73","458","898","Active","","","http://www.redfin.com/CA/San-Jose/8352-Charbono-Ct-95135/home/1844190","MLSListings","ML81656339","N","Y","37.284702","-121.750495"
"New Construction Plan","","Single Family Residential","Residence One","Gilroy","CA","95020","879000","4","3.0","Zinfandel at Glen Loma Ranch","3279","","","","268","","Active","","","http://www.redfin.com/CA/Gilroy/Zinfandel-at-Glen-Loma-Ranch/Residence-One/home/102467059","NewHomeSource.com","Plan-11263472","N","Y","36.987193","-121.581123"
"MLS Listing","","Condo/Co-op","16988 Sorrel Way","MORGAN HILL","CA","95037","525000","2","2.0","MORGAN HILL","1104","1134","1987","74","476","366","Active","","","http://www.redfin.com/CA/Morgan-Hill/16988-Sorrel-Way-95037/home/1252407","MLSListings","ML81656222","N","Y","37.139832","-121.610839"
"MLS Listing","","Single Family Residential","1210 Bacchus Dr","SAN JOSE","CA","95122","759000","5","3.5","SAN JOSE","1512","3480","1971","74","502","","Active","","","http://www.redfin.com/CA/San-Jose/1210-Bacchus-Dr-95122/home/1757282","MLSListings","ML81656204","N","Y","37.3252447","-121.8439841"
"New Construction Plan","","Single Family Residential","Residence Four","Gilroy","CA","95020","835000","4","3.0","Vista Bella at Glen Loma Ranch","3101","","","","269","","Active","","","http://www.redfin.com/CA/Gilroy/Vista-Bella-at-Glen-Loma-Ranch/Residence-Four/home/102467060","NewHomeSource.com","Plan-11263471","N","Y","36.987193","-121.581123"
"MLS Listing","","Single Family Residential","767 Lawrence Dr","GILROY","CA","95020","599000","3","2.0","GILROY","1628","6500","1967","75","368","","Active","","","http://www.redfin.com/CA/Gilroy/767-Lawrence-Dr-95020/home/1171985","MLSListings","ML81655893","N","Y","37.020734","-121.587651"
"MLS Listing","","Single Family Residential","95 W Main Ave","MORGAN HILL","CA","95037","849000","4","2.0","MORGAN HILL","1312","4800","1895","79","647","","Active","","","http://www.redfin.com/CA/Morgan-Hill/95-W-Main-Ave-95037/home/1014103","MLSListings","ML81655472","N","Y","37.1295462","-121.6564184"
